turma_id,semestre,codigo,disciplina,turma,origem,horario_observado,dias_observados,horario_fixo,fonte,validado
2026-1-TCC00358-B1,2026-1,TCC00358,SISTEMAS COMPUTACIONAIS,B1,IC,quinta 18:00-22:00,quinta,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00359-A1,2026-1,TCC00359,REDES DE COMPUTADORES,A1,IC,segunda 20:00-22:00; quarta 20:00-22:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00359-Z1,2026-1,TCC00359,REDES DE COMPUTADORES,Z1,IC,terca 14:00-16:00; quinta 14:00-16:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00360-A1,2026-1,TCC00360,VISUALIZAÇÃO DE DADOS,A1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00361-A1,2026-1,TCC00361,INTRODUÇÃO AO DESENVOLVIMENTO WEB,A1,IC,terca 20:00-22:00; quinta 20:00-22:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00362-A1,2026-1,TCC00362,SISTEMAS DISTRIBUÍDOS PARA SISTEMAS DE INFORMAÇÃO,A1,IC,segunda 20:00-22:00; quarta 20:00-22:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00363-A1,2026-1,TCC00363,GERÊNCIA DE PROJETOS E MANUT DE SOFTWARE,A1,IC,terca 20:00-22:00; quinta 20:00-22:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00365-A1,2026-1,TCC00365,QUALIDADE E TESTE DE SOFTWARE,A1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00366-A1,2026-1,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,A1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00366-B1,2026-1,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,B1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00368-A1,2026-1,TCC00368,PESQUISA OPERACIONAL PARA SISTEMAS DE INFORMAÇÃO,A1,IC,sexta 18:00-22:00,sexta,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00371-A1,2026-1,TCC00371,ÉTICA EM INT. ARTIFICIAL E CIÊNCIA DE DADOS,A1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00194-SEM-TURMA,2026-2,TCC00194,BIOLOGIA COMPUTACIONAL (OPTATIVA),A1,IC,terca 16:00-18:00; quinta 16:00-18:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00196-SEM-TURMA,2026-2,TCC00196,PROGRAMAÇÃO LINEAR INTEIRA - OTIMIZAÇÃO COMBINATÓRIA (GRAD. E PÓS),A1,IC,sexta 14:00-18:00,sexta,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00200-SEM-TURMA,2026-2,TCC00200,MINERAÇÃO DE DADOS (GRAD. E PÓS),A1,IC,segunda 16:00-18:00; quarta 16:00-18:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00203-SEM-TURMA,2026-2,TCC00203,ANÁLISE / PROCESSAMENTO DE IMAGENS (GRAD. E PÓS),A1,IC,segunda 14:00-18:00,segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00222-A1,2026-2,TCC00222,COMPUTAÇÃO E SOCIEDADE PARA SI,A1,IC,quinta 18:00-22:00,quinta,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00225-A1,2026-2,TCC00225,ENGENHARIA DE SOFTWARE,A1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00226-A1,2026-2,TCC00226,DESENVOLVIMENTO WEB,A1,IC,segunda 09:00-11:00; quarta 09:00-11:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00234-SEM-TURMA,2026-2,TCC00234,TÓPICOS EM ARQUITETURAS DE COMPUTADORES I (GRAD. E PÓS),A1,IC,segunda 09:00-11:00; quarta 09:00-11:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00237-A1,2026-2,TCC00237,TÓPICOS EM AUTOMAÇÃO I - ROBÓTICA E VEÍCULOS AUTÔNOMOS (GRAD. E PÓS),A1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00241-A1,2026-2,TCC00241,TÓPICOS EM COMPUTAÇÃO I - GRAFOS E SUAS APLICAÇÕES,A1,IC,terca 18:00-20:00; quinta 18:00-20:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00242-SEM-TURMA,2026-2,TCC00242,TÓPICOS EM COMPUTAÇÃO II - ÁLGEBRA LINEAR COMPUTACIONAL (GRAD. E PÓS),A1,IC,segunda 11:00-13:00; quarta 11:00-13:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00243-SEM-TURMA,2026-2,TCC00243,TÓPICOS EM COMPUTAÇÃO III - ALGORITMOS E COMPLEXIDADE DE PROBLEMAS (GRAD. E PÓS),A1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00245-SEM-TURMA,2026-2,TCC00245,TÓPICOS EM BANCO DE DADOS II - RASTREABILIDADE E GOVERNANÇA DE DADOS (GRAD. E PÓS),A1,IC,segunda 18:00-20:00; sexta 20:00-22:00,segunda;sexta,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00252-SEM-TURMA,2026-2,TCC00252,TÓPICOS EM ENG DE SOFTWARE III - IA GENERATIVA (GRAD. E PÓS),A1,IC,segunda 16:00-18:00; quarta 16:00-18:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00259-SEM-TURMA,2026-2,TCC00259,TÓPICOS EM IA I - APRENDIZADO PROFUNDO (GRAD. E PÓS),A1,IC,segunda 16:00-18:00; quarta 16:00-18:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00265-SEM-TURMA,2026-2,TCC00265,TÓPICOS EM INTERFACE HOMEM MÁQUINA (GRAD. E PÓS),A1,IC,segunda 16:00-18:00; quarta 16:00-18:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00271-SEM-TURMA,2026-2,TCC00271,TÓPICOSS EM LINGUAGEM DE PROGRAMAÇÃO I - LÓGICA NEBULOSA (GRAD. E PÓS),A1,IC,segunda 16:00-18:00; quarta 16:00-18:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00284-A1,2026-2,TCC00284,ALGORITMOS EM GRAFOS,A1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00285-A1,2026-2,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,A1,IC,terca 11:00-13:00; quinta 11:00-13:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00285-X1,2026-2,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,X1,IC,terca 11:00-13:00; quinta 11:00-13:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00286-A1,2026-2,TCC00286,ARQUITETURAS DE COMPUTADORES,A1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00286-B1,2026-2,TCC00286,ARQUITETURAS DE COMPUTADORES,B1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00287-A1,2026-2,TCC00287,BANCO DE DADOS I,A1,IC,terca 07:00-09:00; quinta 07:00-09:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00288-A1,2026-2,TCC00288,BANCO DE DADOS II,A1,IC,segunda 07:00-09:00; quarta 07:00-09:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00289-A1,2026-2,TCC00289,COMPILADORES,A1,IC,segunda 09:00-11:00; quarta 09:00-11:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00290-A1,2026-2,TCC00290,COMPUTAÇÃO E SOCIEDADE,A1,IC,quinta 11:00-13:00,quinta,,ic; turmas_2026_cc_si.csv,
