codigo,disciplina,origem,setor_historico_2025,dias_observados_2026,dias_setor_historico,setor_oficial,fonte,validado
TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,IC,ESTR.PROG.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00357,PROGRAMAÇÃO ORIENTADA A OBJETOS I,IC,ENG.SOFT.,sexta,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00357,PROG. ORIENTADA A OBJETOS I,IC,ENG.SOFT.,segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00358,SISTEMAS COMPUTACIONAIS,IC,ARQ.SO.,quinta,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00359,REDES DE COMPUTADORES,IC,REDES,quarta;quinta;segunda;sexta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00360,VISUALIZAÇÃO DE DADOS,IC,COMP.VIS.JOGOS,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00361,INTRODUÇÃO AO DESENVOLVIMENTO WEB,IC,ENG.SOFT.,quinta;sexta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00362,SISTEMAS DISTRIBUÍDOS PARA SI,IC,ARQ.SO.,terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00362,SISTEMAS DISTRIBUÍDOS PARA SISTEMAS DE INFORMAÇÃO,IC,ARQ.SO.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00363,GERÊNCIA DE PROJETOS E MANUT DE SOFTWARE,IC,ENG.SOFT.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00365,QUALIDADE E TESTE DE SOFTWARE,IC,ENG.SOFT.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,IC,ESTR.PROG.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00368,PESQUISA OPERACIONAL PARA SISTEMAS DE INFORMAÇÃO,IC,ALG.CPX.,sexta,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00368,P.O. PARA S.I. (WEB AVANC.),IC,ALG.CPX.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00371,ÉTICA EM INT. ARTIFICIAL E CIÊNCIA DE DADOS,IC,,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
