turma_id,semestre,codigo,turma,dia,inicio,fim,sala,valor_original
2025-2-TCC00308-B1,2025-2,TCC00308,B1,quarta,16:00,18:00,308,"16/18
308"
2025-2-TCC00356-A1,2025-2,TCC00356,A1,segunda,18:00,20:00,L302,"18/20
L302"
2025-2-TCC00356-A1,2025-2,TCC00356,A1,quarta,18:00,20:00,202,"18/20
202"
2025-2-TCC00356-B1,2025-2,TCC00356,B1,segunda,20:00,22:00,L302,"20/22
L302"
2025-2-TCC00356-B1,2025-2,TCC00356,B1,quarta,20:00,22:00,202,"20/22
202"
2025-2-TCC00347-A1,2025-2,TCC00347,A1,terca,09:00,11:00,L304,"09/11
L304"
2025-2-TCC00347-A1,2025-2,TCC00347,A1,quinta,09:00,11:00,202,"09/11
202"
2025-2-TCC00347-B1,2025-2,TCC00347,B1,terca,09:00,11:00,L304,"09/11
L304"
2025-2-TCC00347-B1,2025-2,TCC00347,B1,quinta,09:00,11:00,202,"09/11
202"
2025-2-TCC00347-X1,2025-2,TCC00347,X1,terca,16:00,18:00,L304,"16/18
L304"
2025-2-TCC00347-X1,2025-2,TCC00347,X1,quinta,16:00,18:00,202,"16/18
202"
2025-2-TCC00328-A1,2025-2,TCC00328,A1,segunda,11:00,13:00,L307,"11/13
L307"
2025-2-TCC00328-A1,2025-2,TCC00328,A1,quarta,11:00,13:00,202,"11/13
202"
2025-2-TCC00328-B1,2025-2,TCC00328,B1,segunda,16:00,18:00,202,"16/18
202"
2025-2-TCC00328-B1,2025-2,TCC00328,B1,quarta,16:00,18:00,202,"16/18
202"
2025-2-TCC00328-X1,2025-2,TCC00328,X1,segunda,11:00,13:00,202,"11/13
202"
2025-2-TCC00328-X1,2025-2,TCC00328,X1,quarta,11:00,13:00,202,"11/13
202"
2025-2-TCC00357-A1,2025-2,TCC00357,A1,segunda,18:00,22:00,213,"18/22
213"
2025-2-TCC00335-A1,2025-2,TCC00335,A1,segunda,20:00,22:00,,20/22
2025-2-TCC00335-A1,2025-2,TCC00335,A1,quarta,20:00,22:00,,20/22
2025-2-TCC00312-A1,2025-2,TCC00312,A1,segunda,07:00,09:00,215,"07/09
215"
2025-2-TCC00312-A1,2025-2,TCC00312,A1,quarta,07:00,09:00,215,"07/09
215"
2025-2-TCC00338-A1,2025-2,TCC00338,A1,terca,20:00,22:00,215,"20/22
215"
2025-2-TCC00338-A1,2025-2,TCC00338,A1,quinta,20:00,22:00,215,"20/22
215"
2025-2-TCC00311-B1,2025-2,TCC00311,B1,sabado,14:00,18:00,,14/18
2025-2-TCC00365-A1,2025-2,TCC00365,A1,segunda,18:00,20:00,L306,"18/20
L306"
2025-2-TCC00365-A1,2025-2,TCC00365,A1,quarta,18:00,20:00,202,"18/20
202"
2025-2-TCC00359-A1,2025-2,TCC00359,A1,quarta,20:00,22:00,202,"20/22
202"
2025-2-TCC00359-A1,2025-2,TCC00359,A1,sexta,20:00,22:00,202,"20/22
202"
2025-2-TCC00313-A1,2025-2,TCC00313,A1,terca,09:00,11:00,319,"09/11
319"
2025-2-TCC00313-A1,2025-2,TCC00313,A1,quinta,09:00,11:00,319,"09/11
319"
2025-2-TCC00314-A1,2025-2,TCC00314,A1,terca,11:00,13:00,L307,"11/13
L307"
2025-2-TCC00314-A1,2025-2,TCC00314,A1,quinta,11:00,13:00,L307,"11/13
L307"
2025-2-TCC00341-A1,2025-2,TCC00341,A1,quarta,18:00,22:00,213,"18/22
213"
2025-2-TCC00358-A1,2025-2,TCC00358,A1,quinta,18:00,22:00,321,"18/22
321"
2025-2-TCC00358-B1,2025-2,TCC00358,B1,quinta,18:00,22:00,306,"18/22
306"
2025-2-TCC00315-A1,2025-2,TCC00315,A1,terca,09:00,11:00,202,"09/11
202"
2025-2-TCC00315-A1,2025-2,TCC00315,A1,quinta,09:00,11:00,202,"09/11
202"
2025-2-TCC00362-A1,2025-2,TCC00362,A1,terca,18:00,22:00,,18/22
2025-2-TCC00316-A1,2025-2,TCC00316,A1,terca,11:00,13:00,215,"11/13
215"
2025-2-TCC00316-A1,2025-2,TCC00316,A1,quinta,11:00,13:00,215,"11/13
215"
2025-2-TCC00360-A1,2025-2,TCC00360,A1,segunda,18:00,20:00,319,"18/20
319"
2025-2-TCC00360-A1,2025-2,TCC00360,A1,quarta,18:00,20:00,319,"18/20
319"
