turma_id,semestre,codigo,disciplina,turma,correspondencia_2025,cursos_observados_2025,periodos_observados_2025,obrigatoria_em_algum_registro_2025,registros_correspondentes_2025,incorporado_como_fato_2026,fonte
2026-1-SEM-CODIGO-007-SEM-TURMA,2026-1,,Pós: Redes de Computadores,,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-SEM-CODIGO-008-SEM-TURMA,2026-1,,Pós: UX Design - Aplicando IA no Processo Criativo Centrado no Humano,,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-SEM-CODIGO-009-SEM-TURMA,2026-1,,Pós: Visualização de Dados,,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00244-A1,2026-1,TCC00244,TÓPICOS EM BANCO DE DADOS I Pós: eScience,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00241-A1,2026-1,TCC00241,TÓPICOS EM COMPUTAÇÃO I Pós: Visão Computacional,A1,True,83,SI-P6,True,1,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00250-A1,2026-1,TCC00250,TÓPICOS EM ENGENHARIA DE SOFWARE I Pós: Game Analytics,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00251-A1,2026-1,TCC00251,TÓPICOS EM ENGENHARIA DE SOFWARE II Pós: Controle de Versão,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00259-A1,2026-1,TCC00259,TÓPICOS EM INTELIGÊNCIA ARTIFICIAL I Aprendizado Profundo,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00260-A1,2026-1,TCC00260,TÓPICOS EM INTELIGÊNCIA ARTIFICIAL II Pós: Aprendizado de Máquina,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00271-A1,2026-1,TCC00271,TÓPICOS EM LINGUAGEM DE PROGRAMAÇÃO I,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00230-A1,2026-1,TCC00230,TÓPICOS ESPECIAIS EM SEGURANÇA DA INFORMAÇÃO Pós: Criptografia,A1,True,83,SI-P7,True,1,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-2-TCC00265-SEM-TURMA,2026-2,TCC00265,TÓPICOS EM INTERFACE HOMEM MÁQUINA (GRAD. E PÓS),,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-2-TCC00284-A1,2026-2,TCC00284,ALGORITMOS EM GRAFOS,A1,True,31,CC-P6,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-2-TCC00203-SEM-TURMA,2026-2,TCC00203,ANÁLISE / PROCESSAMENTO DE IMAGENS (GRAD. E PÓS),,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-2-SEM-CODIGO-001-SEM-TURMA,2026-2,,ANÁLISE COMPUTACIONAL DE SISTEMAS DE POTÊNCIA (GRAD. E PÓS),,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-2-TCC00285-A1,2026-2,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,A1,True,31,CC-P5,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-2-TCC00285-X1,2026-2,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,X1,True,31,CC-P5,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
