turma_id,semestre,codigo,turma,encontro,dia,inicio,fim,sala,horario_original,sala_original,valor_original,pagina_pdf,arquivo_origem
2026-1-TCC00328-B1,2026-1,TCC00328,B1,1,segunda,16:00,18:00,302,16:00-18:00,SALA 302,16:00-18:00 SALA 302,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00328-B1,2026-1,TCC00328,B1,2,quarta,16:00,18:00,L304,16:00-18:00,LAB. 304,16:00-18:00 LAB. 304,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00357-A1,2026-1,TCC00357,A1,1,sexta,18:00,22:00,206,18:00-22:00,SALA 206,18:00-22:00 SALA 206,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00335-A1,2026-1,TCC00335,A1,1,terca,20:00,22:00,204,20:00-22:00,SALA 204,20:00-22:00 SALA 204,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00335-A1,2026-1,TCC00335,A1,2,quinta,20:00,22:00,204,20:00-22:00,SALA 204,20:00-22:00 SALA 204,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00312-A1,2026-1,TCC00312,A1,1,segunda,11:00,13:00,213,11:00-13:00,SALA 213,11:00-13:00 SALA 213,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00312-A1,2026-1,TCC00312,A1,2,quarta,11:00,13:00,213,11:00-13:00,SALA 213,11:00-13:00 SALA 213,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00338-A1,2026-1,TCC00338,A1,1,terca,18:00,20:00,202,18:00-20:00,SALA 202,18:00-20:00 SALA 202,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00338-A1,2026-1,TCC00338,A1,2,quinta,18:00,20:00,202,18:00-20:00,SALA 202,18:00-20:00 SALA 202,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00365-A1,2026-1,TCC00365,A1,1,segunda,18:00,20:00,L304,18:00-20:00,LAB. 304,18:00-20:00 LAB. 304,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00365-A1,2026-1,TCC00365,A1,2,quarta,18:00,20:00,302,18:00-20:00,SALA 302,18:00-20:00 SALA 302,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00359-A1,2026-1,TCC00359,A1,1,segunda,20:00,22:00,215,20:00-22:00,SALA 215,20:00-22:00 SALA 215,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00359-A1,2026-1,TCC00359,A1,2,quarta,20:00,22:00,215,20:00-22:00,SALA 215,20:00-22:00 SALA 215,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00359-Z1,2026-1,TCC00359,Z1,1,terca,14:00,16:00,319,14:00-16:00,SALA 319,14:00-16:00 SALA 319,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00359-Z1,2026-1,TCC00359,Z1,2,quinta,14:00,16:00,319,14:00-16:00,SALA 319,14:00-16:00 SALA 319,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00313-A1,2026-1,TCC00313,A1,1,terca,07:00,09:00,215,07:00-09:00,SALA 215,07:00-09:00 SALA 215,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00313-A1,2026-1,TCC00313,A1,2,quinta,07:00,09:00,215,07:00-09:00,SALA 215,07:00-09:00 SALA 215,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00314-A1,2026-1,TCC00314,A1,1,terca,09:00,11:00,215,09:00-11:00,SALA 215,09:00-11:00 SALA 215,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00314-A1,2026-1,TCC00314,A1,2,quinta,09:00,11:00,215,09:00-11:00,SALA 215,09:00-11:00 SALA 215,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00341-A1,2026-1,TCC00341,A1,1,segunda,20:00,22:00,204,20:00-22:00,SALA 204,20:00-22:00 SALA 204,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00341-A1,2026-1,TCC00341,A1,2,quarta,20:00,22:00,204,20:00-22:00,SALA 204,20:00-22:00 SALA 204,5,dados/brutos/QH-2026-1.pdf
2026-1-CGI00004-A1,2026-1,CGI00004,A1,1,sexta,18:00,22:00,215,18:00-22:00,SALA 215,18:00-22:00 SALA 215,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00358-A1,2026-1,TCC00358,A1,1,quinta,18:00,22:00,306,18:00-22:00,SALA 306,18:00-22:00 SALA 306,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00358-B1,2026-1,TCC00358,B1,1,quinta,18:00,22:00,319,18:00-22:00,SALA 319,18:00-22:00 SALA 319,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00315-A1,2026-1,TCC00315,A1,1,terca,11:00,13:00,319,11:00-13:00,SALA 319,11:00-13:00 SALA 319,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00315-A1,2026-1,TCC00315,A1,2,quinta,11:00,13:00,319,11:00-13:00,SALA 319,11:00-13:00 SALA 319,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00362-A1,2026-1,TCC00362,A1,1,segunda,20:00,22:00,321,20:00-22:00,SALA 321,20:00-22:00 SALA 321,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00362-A1,2026-1,TCC00362,A1,2,quarta,20:00,22:00,321,20:00-22:00,SALA 321,20:00-22:00 SALA 321,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00316-A1,2026-1,TCC00316,A1,1,terca,11:00,13:00,204,11:00-13:00,SALA 204,11:00-13:00 SALA 204,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00316-A1,2026-1,TCC00316,A1,2,quinta,11:00,13:00,204,11:00-13:00,SALA 204,11:00-13:00 SALA 204,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00242-A1,2026-1,TCC00242,A1,1,terca,18:00,20:00,308,18:00-20:00,SALA 308,18:00-20:00 SALA 308,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00242-A1,2026-1,TCC00242,A1,2,quinta,18:00,20:00,308,18:00-20:00,SALA 308,18:00-20:00 SALA 308,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00253-A1,2026-1,TCC00253,A1,1,sexta,18:00,22:00,204,18:00-22:00,SALA 204,18:00-22:00 SALA 204,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00360-A1,2026-1,TCC00360,A1,1,segunda,18:00,20:00,206,18:00-20:00,SALA 206,18:00-20:00 SALA 206,5,dados/brutos/QH-2026-1.pdf
2026-1-TCC00360-A1,2026-1,TCC00360,A1,2,quarta,18:00,20:00,206,18:00-20:00,SALA 206,18:00-20:00 SALA 206,5,dados/brutos/QH-2026-1.pdf
