turma_id,semestre,codigo,disciplina,periodo,exige_laboratorio,recursos_requeridos,fontes
2025-1-TCC00298-A1,2025-1,TCC00298,INTERFACE HOMEM MAQUINA,CC-P7,False,,sala_observada
2025-1-TCC00337-A1,2025-1,TCC00337,INTRODUÇÃO A INTERAÇÃO HUMANO-COMPUTADOR,SI-P5,False,,sala_observada
2025-1-TCC00361-A1,2025-1,TCC00361,INTRODUÇÃO AO DESENVOLVIMENTO WEB,SI-P6,True,laboratorio,codigo_historico_somente_laboratorio
2025-1-TCC00301-A-A/B-A,2025-1,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,CC-P2-A,True,laboratorio,codigo_historico_somente_laboratorio
2025-1-TCC00344-A1,2025-1,TCC00344,LABORATÓRIO DE PROGRAMAÇÃO PARALELA,CC-P7,True,laboratorio,codigo_historico_somente_laboratorio
2025-1-TCC00346-A-A/C-A,2025-1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,CC-P1-A,True,laboratorio,codigo_historico_somente_laboratorio
2025-1-TCC00346-B-A/D-A,2025-1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,CC-P1-B,True,laboratorio,codigo_historico_somente_laboratorio
2025-1-TCC00355-E-A,2025-1,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,SI-P1-A,True,laboratorio,codigo_historico_somente_laboratorio
2025-1-TCC00355-F-A,2025-1,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,SI-P1-B,True,laboratorio,codigo_historico_somente_laboratorio
2025-1-TCC00304-A1,2025-1,TCC00304,LINGUAGENS DE PROGRAMAÇÃO,CC-P4,False,,sala_observada
2025-1-TCC00305-A1,2025-1,TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,CC-P6,False,,sala_observada
2025-1-TCC00306-A1,2025-1,TCC00306,METODOS NUMERICOS,CC-P4,False,,sala_observada
2025-1-TCC00330-A1,2025-1,TCC00330,MODELAGEM DE PROCESSO DE NEGÓCIOS,SI-P7,False,,sala_observada
2025-1-TCC00318-A1,2025-1,TCC00318,PESQUISA OPERACIONAL,CC-P7,False,,sala_observada
2025-1-TCC00334-A1,2025-1,TCC00334,PRINCIPIO DE BANCO DE DADOS,SI-P4,False,,sala_observada
2025-1-TCC00307-A1,2025-1,TCC00307,PROGRAMAÇÃO CIENTÍFICA,CC-P6,False,,sala_observada
2025-1-TCC00366-A1,2025-1,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,SI-P1-A,False,,sala_observada_codigo_misto
2025-1-TCC00366-B1,2025-1,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,SI-P1-B,True,laboratorio,sala_observada_codigo_misto
2025-1-TCC00308-A1,2025-1,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,CC-P1-A,True,laboratorio,sala_observada_codigo_misto
2025-1-TCC00308-B1,2025-1,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,CC-P1-B,True,laboratorio,sala_observada_codigo_misto
2025-1-TCC00356-A1,2025-1,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,SI-P2-A,True,laboratorio,sala_observada_codigo_misto
2025-1-TCC00356-B1,2025-1,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,SI-P2-B,True,laboratorio,sala_observada_codigo_misto
2025-1-TCC00347-A1,2025-1,TCC00347,PROGRAMAÇÃO ESTRUTURADA,CC-P2-A,True,laboratorio,sala_observada_codigo_misto
2025-1-TCC00347-B1,2025-1,TCC00347,PROGRAMAÇÃO ESTRUTURADA,CC-P2-B,True,laboratorio,sala_observada_codigo_misto
2025-1-TCC00328-B1,2025-1,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,CC-P3-B,True,laboratorio,sala_observada_codigo_misto
2025-1-TCC00357-A1,2025-1,TCC00357,PROGRAMAÇÃO ORIENTADA A OBJETOS I,SI-P4,False,,sala_observada_codigo_misto
2025-1-TCC00357-X1,2025-1,TCC00357,PROGRAMAÇÃO ORIENTADA A OBJETOS I,SI-P4,True,laboratorio,sala_observada_codigo_misto
2025-1-TCC00335-A1,2025-1,TCC00335,PROJETO DE BANCO DE DADOS PARA SI,SI-P5,True,laboratorio,sala_observada_codigo_misto
2025-1-TCC00312-A1,2025-1,TCC00312,PROJETO DE SOFTWARE,CC-P5,False,,sala_observada
2025-1-TCC00338-A1,2025-1,TCC00338,PROJETO DE SOFTWARE,SI-P6,False,,sala_observada
2025-1-TCC00311-B1,2025-1,TCC00311,PROJETO FINAL II,,False,,sem_evidencia_de_laboratorio
2025-1-TCC00365-A1,2025-1,TCC00365,QUALIDADE E TESTE DE SOFTWARE,SI-P8,True,laboratorio,sala_observada_codigo_misto
2025-1-TCC00359-A1,2025-1,TCC00359,REDES DE COMPUTADORES,SI-P4,False,,sala_observada
2025-1-TCC00313-A1,2025-1,TCC00313,REDES DE COMPUTADORES I,CC-P5,False,,sala_observada
2025-1-TCC00314-A1,2025-1,TCC00314,REDES DE COMPUTADORES II,CC-P6,False,,sala_observada_codigo_misto
2025-1-TCC00341-A1,2025-1,TCC00341,SEGURANÇA DA INFORMAÇÃO,SI-P7,False,,sala_observada
2025-1-TCC00358-A1,2025-1,TCC00358,SISTEMAS COMPUTACIONAIS,SI-P3-A,False,,sala_observada
2025-1-TCC00358-B1,2025-1,TCC00358,SISTEMAS COMPUTACIONAIS,SI-P3-B,False,,sala_observada
2025-1-TCC00315-A1,2025-1,TCC00315,SISTEMAS DISTRIBUÍDOS,CC-P7,False,,sala_observada
2025-1-TCC00362-A1,2025-1,TCC00362,SISTEMAS DISTRIBUÍDOS PARA SISTEMAS DE INFORMAÇÃO,SI-P5,False,,sala_observada
2025-1-TCC00316-A1,2025-1,TCC00316,SISTEMAS OPERACIONAIS,CC-P4,False,,sala_observada
2025-1-TCC00360-A1,2025-1,TCC00360,VISUALIZAÇÃO DE DADOS,SI-P6,False,,sala_observada
2025-1-TCC00242-A1,2025-1,TCC00242,Ementa Variável I / Graduação - Introdução à programação funcional - TCC0024X TÓPICOS EM COMPUTAÇÃO X,SI-P6,False,,sala_observada
