id,semestre,curso,periodo,grupos_curriculares,codigo,disciplina,turma,turma_pdf,origem,alocacao,professores,capacidade,inscritos,obrigatoria,compartilhada_cc_si,compartilhada_vagas_cc_si,turma_url,metodo_vinculo
2026-1-TCC00363-A1,2026-1,SI,,SI-P7,TCC00363,GERÊNCIA DE PROJETOS E MANUT DE SOFTWARE,A1,A1,IC,Joao Pimentel,Joao Pimentel,54,50,True,False,False,/graduacao/quadrodehorarios/turmas/100000447068,turma_e_encontros_exatos
2026-1-TCC00365-A1,2026-1,SI,,SI-P8,TCC00365,QUALIDADE E TESTE DE SOFTWARE,A1,A1,IC,Vania,Vania,56,54,True,False,False,/graduacao/quadrodehorarios/turmas/100000447098,turma_e_encontros_exatos
2026-1-TCC00366-A1,2026-1,SI,,SI-P1,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,A1,A1,IC,Andre Renato,Andre Renato,46,27,True,False,False,/graduacao/quadrodehorarios/turmas/100000447082,turma_e_encontros_exatos
2026-1-TCC00366-B1,2026-1,SI,,SI-P1,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,B1,B1,IC,Leo Cruz,Leo Cruz,45,36,True,False,False,/graduacao/quadrodehorarios/turmas/100000447083,turma_e_encontros_exatos
2026-1-TCC00368-A1,2026-1,SI,,,TCC00368,PESQUISA OPERACIONAL PARA SISTEMAS DE INFORMAÇÃO,A1,A1,IC,Yuri,Yuri,61,58,,False,True,/graduacao/quadrodehorarios/turmas/100000447050,turma_e_encontros_exatos
2026-1-TCC00371-A1,2026-1,CC,,,TCC00371,ÉTICA EM INT. ARTIFICIAL E CIÊNCIA DE DADOS,A1,A1,IC,Mariza,Mariza,31,31,,False,False,/graduacao/quadrodehorarios/turmas/100000447058,turma_e_encontros_exatos
2026-2-TCC00194-SEM-TURMA,2026-2,CC,,CC-OPT,TCC00194,BIOLOGIA COMPUTACIONAL (OPTATIVA),A1,,IC,Helena,Helena,32,32,False,False,False,/graduacao/quadrodehorarios/turmas/100000462594,encontros_exatos
2026-2-TCC00196-SEM-TURMA,2026-2,CC,,CC-OPT,TCC00196,PROGRAMAÇÃO LINEAR INTEIRA - OTIMIZAÇÃO COMBINATÓRIA (GRAD. E PÓS),A1,,IC,Yuri,Yuri,17,12,False,False,False,/graduacao/quadrodehorarios/turmas/100000462774,encontros_exatos
2026-2-TCC00200-SEM-TURMA,2026-2,CC,,CC-OPT,TCC00200,MINERAÇÃO DE DADOS (GRAD. E PÓS),A1,,IC,Marcos Bedo,Marcos Bedo,15,10,False,False,True,/graduacao/quadrodehorarios/turmas/100000462775,encontros_exatos
2026-2-TCC00203-SEM-TURMA,2026-2,CC,,CC-OPT,TCC00203,ANÁLISE / PROCESSAMENTO DE IMAGENS (GRAD. E PÓS),A1,,IC,Aura,Aura,19,12,False,False,True,/graduacao/quadrodehorarios/turmas/100000462780,encontros_exatos
2026-2-TCC00222-A1,2026-2,SI,,SI-P8,TCC00222,COMPUTAÇÃO E SOCIEDADE PARA SI,A1,A1,IC,Marcelo Fornazin,Marcelo Fornazin,50,39,True,False,True,/graduacao/quadrodehorarios/turmas/100000457762,turma_e_encontros_exatos
2026-2-TCC00225-A1,2026-2,SI,,SI-P5,TCC00225,ENGENHARIA DE SOFTWARE,A1,A1,IC,Rebeca,Rebeca,61,56,True,False,False,/graduacao/quadrodehorarios/turmas/100000462001,turma_e_encontros_exatos
2026-2-TCC00226-A1,2026-2,CC,,CC-P5,TCC00226,DESENVOLVIMENTO WEB,A1,A1,IC,Carlos Ribeiro,Carlos Ribeiro,62,62,True,False,False,/graduacao/quadrodehorarios/turmas/100000457764,turma_e_encontros_exatos
2026-2-TCC00234-SEM-TURMA,2026-2,CC;SI,,CC-OPT;SI-OPT,TCC00234,TÓPICOS EM ARQUITETURAS DE COMPUTADORES I (GRAD. E PÓS),A1,,IC,Lucia,Lucia,10,10,False,True,False,/graduacao/quadrodehorarios/turmas/100000457760,encontros_exatos
2026-2-TCC00237-A1,2026-2,CC;SI,,CC-OPT;SI-OPT,TCC00237,TÓPICOS EM AUTOMAÇÃO I - ROBÓTICA E VEÍCULOS AUTÔNOMOS (GRAD. E PÓS),A1,A1,IC,Esteban,Esteban,43,27,False,True,True,/graduacao/quadrodehorarios/turmas/100000462596,turma_e_encontros_exatos
2026-2-TCC00241-A1,2026-2,CC;SI,,CC-OPT;SI-OPT,TCC00241,TÓPICOS EM COMPUTAÇÃO I - GRAFOS E SUAS APLICAÇÕES,A1,A1,IC,Andre Renato,Andre Renato,39,35,False,True,True,/graduacao/quadrodehorarios/turmas/100000462767,turma_e_encontros_exatos
