turma_id,semestre,codigo,disciplina,usa_laboratorio_observado,recursos_observados,observacao_fontes,exige_laboratorio,recursos_requeridos,requisito_fonte
2026-1-TCC00271-A1,2026-1,TCC00271,TÓPICOS EM LINGUAGEM DE PROGRAMAÇÃO I,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00230-A1,2026-1,TCC00230,TÓPICOS ESPECIAIS EM SEGURANÇA DA INFORMAÇÃO Pós: Criptografia,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-2-TCC00265-SEM-TURMA,2026-2,TCC00265,TÓPICOS EM INTERFACE HOMEM MÁQUINA (GRAD. E PÓS),False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-2-TCC00284-A1,2026-2,TCC00284,ALGORITMOS EM GRAFOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-2-TCC00203-SEM-TURMA,2026-2,TCC00203,ANÁLISE / PROCESSAMENTO DE IMAGENS (GRAD. E PÓS),False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-2-SEM-CODIGO-001-SEM-TURMA,2026-2,,ANÁLISE COMPUTACIONAL DE SISTEMAS DE POTÊNCIA (GRAD. E PÓS),,,sala_ausente_no_pdf,,,não disponível nos PDFs
2026-2-TCC00285-A1,2026-2,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-2-TCC00285-X1,2026-2,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-2-TIC10001-SEM-TURMA,2026-2,TIC10001,ANÁLISE E SÍNTESE DE ALGORITMOS (GRAD. E PÓS),False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-2-TCC00286-A1,2026-2,TCC00286,ARQUITETURAS DE COMPUTADORES,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-2-TCC00286-B1,2026-2,TCC00286,ARQUITETURAS DE COMPUTADORES,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-2-TCC00349-A1,2026-2,TCC00349,AVALIAÇÃO DE DESEMPENHO,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
